name,cdate
A/Sydney/153/2016|EPI_ISL_233282|2016-07-03,2016-07-03
A/Sydney/134/2016|EPI_ISL_233281|2016-07-09,2016-07-09
A/Victoria/514/2016|EPI_ISL_233280|2016-07-17,2016-07-17
A/Victoria/512/2016|EPI_ISL_233279|2016-07-13,2016-07-13
A/Newcastle/67/2016|EPI_ISL_233278|2016-07-29,2016-07-29
A/Victoria/7/2016|EPI_ISL_233277|2016-06-06,2016-06-06
A/Sydney/96/2016|EPI_ISL_233276|2016-05-13,2016-05-13
A/Sydney/95/2016|EPI_ISL_233272|2016-06-17,2016-06-17
A/Newcastle/1000/2016|EPI_ISL_233243|2016-05-18,2016-05-18
A/Newcastle/53/2016|EPI_ISL_233242|2016-07-17,2016-07-17
A/SouthAustralia/51/2016|EPI_ISL_233241|2016-07-06,2016-07-06
A/SouthAustralia/49/2016|EPI_ISL_233240|2016-07-06,2016-07-06
A/SouthAustralia/48/2016|EPI_ISL_233239|2016-07-03,2016-07-03
A/SouthAustralia/42/2016|EPI_ISL_233237|2016-06-29,2016-06-29
A/SouthAustralia/37/2016|EPI_ISL_233236|2016-06-28,2016-06-28
A/Victoria/2031/2016|EPI_ISL_233235|2016,2016
A/SouthAustralia/35/2016|EPI_ISL_233234|2016-06-20,2016-06-20
A/SouthAustralia/34/2016|EPI_ISL_233233|2016-06-24,2016-06-24
A/SouthAustralia/44/2016|EPI_ISL_233232|2016-07-06,2016-07-06
A/SouthAustralia/41/2016|EPI_ISL_233231|2016-07-02,2016-07-02
A/SouthAustralia/40/2016|EPI_ISL_233230|2016-07-01,2016-07-01
A/SouthAustralia/39/2016|EPI_ISL_233229|2016-07-03,2016-07-03
A/SouthAustralia/38/2016|EPI_ISL_233228|2016-07-03,2016-07-03
A/Sydney/1012/2016|EPI_ISL_233227|2016-06-29,2016-06-29
A/Victoria/12/2016|EPI_ISL_233226|2016-06-18,2016-06-18
A/Victoria/2/2016|EPI_ISL_233225|2016-05-02,2016-05-02
A/Newcastle/43/2016|EPI_ISL_233224|2016-06-07,2016-06-07
A/Sydney/101/2016|EPI_ISL_233223|2016-06-04,2016-06-04
A/Sydney/142/2016|EPI_ISL_232807|2016-06-30,2016-06-30
A/Sydney/120/2016|EPI_ISL_232806|2016-07-01,2016-07-01
A/Victoria/508/2016|EPI_ISL_232805|2016-07-23,2016-07-23
A/Sydney/133/2016|EPI_ISL_232804|2016-07-25,2016-07-25
A/Tasmania/3/2016|EPI_ISL_230157|2016-02-11,2016-02-11
A/SouthAustralia/1/2016|EPI_ISL_230156|2016-01-06,2016-01-06
A/Sydney/20/2016|EPI_ISL_230155|2016-01-25,2016-01-25
A/Brisbane/30/2016|EPI_ISL_230154|2016-01-27,2016-01-27
A/Canberra/5/2016|EPI_ISL_227640|2016-02-19,2016-02-19
A/Canberra/7/2016|EPI_ISL_227639|2016-04-10,2016-04-10
A/Newcastle/30/2016|EPI_ISL_227637|2016-03-29,2016-03-29
A/Sydney/52/2016|EPI_ISL_227630|2016-02-22,2016-02-22
A/Brisbane/6/2016|EPI_ISL_222827|2016-01-04,2016-01-04
A/SouthAustralia/9/2015|EPI_ISL_222826|2015,2015
A/SouthAustralia/3/2016|EPI_ISL_222804|2016-01-03,2016-01-03
A/Sydney/29/2016|EPI_ISL_222803|2016-01-10,2016-01-10
A/Sydney/30/2016|EPI_ISL_222802|2016-02-03,2016-02-03
A/Brisbane/183/2015|EPI_ISL_222800|2015-10-13,2015-10-13
A/Sydney/9/2016|EPI_ISL_222799|2016-01-08,2016-01-08
A/Brisbane/6/2012|EPI_ISL_222264|2012-02-02,2012-02-02
A/Brisbane/1/2012|EPI_ISL_222263|2012-01-06,2012-01-06
A/Victoria/506/2013|EPI_ISL_219323|2013-06-16,2013-06-16
A/Victoria/505/2013|EPI_ISL_219322|2013-06-17,2013-06-17
A/Victoria/504/2013|EPI_ISL_219329|2013-06-17,2013-06-17
A/Victoria/710/2013|EPI_ISL_219313|2013-02-03,2013-02-03
A/SouthAustralia/40/2014|EPI_ISL_219310|2014-06-20,2014-06-20
A/SouthAustralia/24/2014|EPI_ISL_219307|2014-06-08,2014-06-08
A/SouthAustralia/2/2013|EPI_ISL_219304|2013-01-09,2013-01-09
A/Perth/98/2013|EPI_ISL_219292|2013-08-05,2013-08-05
A/Perth/239/2013|EPI_ISL_219291|2013-09-26,2013-09-26
A/Perth/2/2014|EPI_ISL_219290|2014-01-01,2014-01-01
A/Perth/1/2014|EPI_ISL_219289|2014-01-01,2014-01-01
A/Newcastle/1/2013|EPI_ISL_219288|2013-01-14,2013-01-14
A/Canberra/3/2014|EPI_ISL_219280|2014-01-27,2014-01-27
A/Canberra/2/2014|EPI_ISL_219279|2014-01-23,2014-01-23
A/Brisbane/1/2013|EPI_ISL_219278|2013-01-03,2013-01-03
A/Victoria/700/2013|EPI_ISL_219276|2013-02-01,2013-02-01
A/Brisbane/21/2013|EPI_ISL_219275|2013-02-27,2013-02-27
A/Brisbane/183/2015|EPI_ISL_219066|2015-10-13,2015-10-13
A/Brisbane/341/2014|EPI_ISL_219046|2014-10-03,2014-10-03
A/Victoria/6001/2015|EPI_ISL_219040|2015-01-04,2015-01-04
A/Victoria/511/2015|EPI_ISL_219039|2015-05-16,2015-05-16
A/Victoria/503/2015|EPI_ISL_219038|2015-03-31,2015-03-31
